date,cum_units
2020-11-01,873.8200000000005
2020-11-02,876.6000000000005
2020-11-03,865.7300000000005
2020-11-04,866.0100000000004
2020-11-05,865.0100000000004
2020-11-06,858.8000000000004
2020-11-07,848.0700000000004
2020-11-08,842.4900000000004
2020-11-09,846.5200000000003
2020-11-10,845.5200000000003
2020-11-13,844.5200000000003
2020-11-14,853.0100000000003
2020-11-15,849.9900000000004
2020-11-17,850.2100000000004
2020-11-20,850.1600000000004
2020-11-21,829.6500000000004
2020-11-22,837.0700000000004
2020-11-23,838.3400000000004
2020-11-24,846.0200000000003
2020-11-25,846.0800000000003
2020-11-26,842.0800000000003
2020-11-27,841.0500000000003
2020-11-28,845.1300000000003
2020-11-29,839.7500000000003
2020-11-30,836.8700000000003
2020-12-01,832.3100000000004
2020-12-02,829.9000000000004
2020-12-03,831.3400000000005
2020-12-04,830.0600000000005
2020-12-05,819.4400000000005
2020-12-06,808.4700000000005
2020-12-07,812.8100000000005
2020-12-08,815.1000000000005
2020-12-09,811.3800000000005
2020-12-10,810.3800000000005
2020-12-11,807.1600000000004
2020-12-12,805.1000000000005
2020-12-13,799.3700000000005
2020-12-14,800.6600000000004
2020-12-15,804.3200000000004
2020-12-16,791.9400000000004
2020-12-17,790.4100000000004
2020-12-18,787.7900000000004
2020-12-19,785.2600000000004
2020-12-20,779.5300000000004
2020-12-21,784.5700000000004
2020-12-22,785.4600000000004
2020-12-23,786.7300000000004
2020-12-24,783.7300000000004
2020-12-26,798.0900000000004
2020-12-27,806.3000000000004
2020-12-28,802.4300000000004
2020-12-29,803.3600000000004
2020-12-30,802.3800000000003
2020-12-31,804.0200000000003
2021-01-01,802.8300000000003
2021-01-02,804.0300000000003
2021-01-03,802.6300000000003
2021-01-04,815.7900000000003
2021-01-05,815.0000000000003
2021-01-06,814.8300000000004
2021-01-07,814.2300000000004
2021-01-08,824.3500000000004
2021-01-09,816.5000000000003
2021-01-10,811.9200000000003
2021-01-11,818.2500000000003
2021-01-12,815.9500000000004
2021-01-13,816.4700000000004
2021-01-14,813.4700000000004
2021-01-15,817.5000000000003
2021-01-16,818.5700000000004
2021-01-17,816.0900000000004
2021-01-18,812.0900000000004
2021-01-19,812.4400000000004
2021-01-20,813.4700000000004
2021-01-21,810.2100000000004
2021-01-22,809.9400000000004
2021-01-23,798.2000000000004
2021-01-24,808.9600000000004
2021-01-25,809.8200000000004
2021-01-26,808.3500000000004
2021-01-27,816.9800000000004
2021-01-28,817.2800000000003
2021-01-29,816.2100000000003
2021-01-30,834.3400000000003
2021-01-31,849.5300000000003
2021-02-01,849.2000000000003
2021-02-02,849.5900000000003
2021-02-03,848.2700000000002
2021-02-04,850.5200000000002
2021-02-05,849.8300000000002
2021-02-06,855.4900000000001
2021-02-07,855.1300000000001
2021-02-08,856.8000000000001
2021-02-09,859.5300000000001
2021-02-10,856.5300000000001
2021-02-12,855.7300000000001
2021-02-13,846.3800000000001
2021-02-14,839.0600000000001
2021-02-15,838.6800000000001
2021-02-16,835.9200000000001
2021-02-17,834.82
2021-02-19,828.7600000000001
2021-02-20,827.9500000000002
2021-02-21,820.7900000000002
2021-02-22,817.8700000000002
2021-02-23,813.9900000000002
2021-02-24,810.3900000000002
2021-02-26,818.5800000000003
2021-02-27,842.3000000000003
2021-02-28,854.4800000000002
2021-03-01,855.0600000000003
2021-03-02,860.1600000000003
2021-03-03,879.2800000000003
2021-03-04,878.2800000000003
2021-03-05,878.8900000000003
2021-03-06,886.3500000000004
2021-03-07,887.8000000000004
2021-03-08,890.5600000000004
2021-03-09,891.7800000000004
2021-03-10,891.2800000000004
2021-03-12,894.8600000000005
2021-03-13,889.2200000000005
2021-03-14,893.9000000000004
2021-03-15,904.5100000000004
2021-03-16,911.0600000000004
2021-03-17,909.0600000000004
2021-03-19,904.3200000000004
2021-03-20,910.0200000000004
2021-03-21,917.1900000000004
2021-03-22,914.1900000000004
2021-03-23,912.7000000000004
2021-03-26,914.6300000000003
2021-03-27,927.6700000000003
2021-03-28,927.8700000000003
2021-03-29,926.8700000000003
2021-03-30,926.2900000000003
2021-03-31,925.2900000000003
2021-04-01,922.4400000000003
2021-04-02,920.0300000000003
2021-04-03,937.7400000000004
2021-04-04,936.3500000000004
2021-04-05,947.0500000000004
2021-04-06,949.3200000000004
2021-04-07,953.5700000000004
2021-04-08,950.5700000000004
2021-04-09,949.4100000000004
2021-04-10,951.1300000000005
2021-04-11,950.4500000000005
2021-04-12,943.4500000000005
2021-04-13,938.9600000000005
2021-04-14,936.9600000000005
2021-04-15,938.0200000000004
2021-04-16,938.7000000000004
